"Dataset","Configuration","Replicate","InitialTemperature","CoolingRate","MaxIterations","TotalShifts","FilledShifts","FilledPercentage","ExecutionTimeMs","TotalPenaltyScore"
"medium","low-temperature","15","100","0.95","1000","100","100","100","99","0"
"medium","low-temperature","16","100","0.95","1000","100","100","100","109","0"
"medium","low-temperature","17","100","0.95","1000","100","100","100","313","0"
"medium","low-temperature","18","100","0.95","1000","100","100","100","52","0"
"medium","low-temperature","19","100","0.95","1000","100","100","100","112","0"
"medium","low-temperature","20","100","0.95","1000","100","100","100","144","0"
"medium","low-temperature","21","100","0.95","1000","100","100","100","119","0"
"medium","low-temperature","22","100","0.95","1000","100","100","100","293","0"
"medium","low-temperature","23","100","0.95","1000","100","100","100","151","0"
"medium","low-temperature","24","100","0.95","1000","100","100","100","83","0"
"medium","low-temperature","25","100","0.95","1000","100","100","100","122","0"
"medium","low-temperature","26","100","0.95","1000","100","100","100","272","0"
"medium","low-temperature","27","100","0.95","1000","100","100","100","117","0"
"medium","low-temperature","28","100","0.95","1000","100","100","100","73","0"
"medium","low-temperature","29","100","0.95","1000","100","100","100","65","0"
"medium","low-temperature","30","100","0.95","1000","100","100","100","88","0"
"medium","fast-cooling","1","1000","0.8","1000","100","100","100","401","0"
"medium","fast-cooling","2","1000","0.8","1000","100","100","100","86","0"
"medium","fast-cooling","3","1000","0.8","1000","100","100","100","70","0"
"medium","fast-cooling","4","1000","0.8","1000","100","100","100","143","0"
"medium","fast-cooling","5","1000","0.8","1000","100","100","100","75","0"
"medium","fast-cooling","6","1000","0.8","1000","100","100","100","367","0"
"medium","fast-cooling","7","1000","0.8","1000","100","100","100","72","0"
"medium","fast-cooling","8","1000","0.8","1000","100","100","100","117","0"
"medium","fast-cooling","9","1000","0.8","1000","100","100","100","130","0"
"medium","fast-cooling","10","1000","0.8","1000","100","100","100","99","0"
"medium","fast-cooling","11","1000","0.8","1000","100","100","100","439","0"
"medium","fast-cooling","12","1000","0.8","1000","100","100","100","96","0"
"medium","fast-cooling","13","1000","0.8","1000","100","100","100","78","0"
"medium","fast-cooling","14","1000","0.8","1000","100","100","100","84","0"
"medium","fast-cooling","15","1000","0.8","1000","100","100","100","100","0"
"medium","fast-cooling","16","1000","0.8","1000","100","100","100","453","0"
"medium","fast-cooling","17","1000","0.8","1000","100","100","100","110","0"
"medium","fast-cooling","18","1000","0.8","1000","100","100","100","232","0"
"medium","fast-cooling","19","1000","0.8","1000","100","100","100","150","0"
"medium","fast-cooling","20","1000","0.8","1000","100","100","100","175","0"
"medium","fast-cooling","21","1000","0.8","1000","100","100","100","147","0"
"medium","fast-cooling","22","1000","0.8","1000","100","100","100","137","0"
"medium","fast-cooling","23","1000","0.8","1000","100","100","100","138","0"
"medium","fast-cooling","24","1000","0.8","1000","100","100","100","114","0"
"medium","fast-cooling","25","1000","0.8","1000","100","100","100","98","0"
"medium","fast-cooling","26","1000","0.8","1000","100","100","100","342","0"
"medium","fast-cooling","27","1000","0.8","1000","100","100","100","123","0"
"medium","fast-cooling","28","1000","0.8","1000","100","100","100","90","0"
"medium","fast-cooling","29","1000","0.8","1000","100","100","100","66","0"
"medium","fast-cooling","30","1000","0.8","1000","100","100","100","48","0"
"medium","short-search","1","1000","0.95","100","100","100","100","10","0"
"medium","short-search","2","1000","0.95","100","100","100","100","9","80"
"medium","short-search","3","1000","0.95","100","100","100","100","9","30"
"medium","short-search","4","1000","0.95","100","100","100","100","25","30"
"medium","short-search","5","1000","0.95","100","100","100","100","9","80"
"medium","short-search","6","1000","0.95","100","100","100","100","43","0"
"medium","short-search","7","1000","0.95","100","100","100","100","9","0"
"medium","short-search","8","1000","0.95","100","100","100","100","9","0"
"medium","short-search","9","1000","0.95","100","100","100","100","5","0"
"medium","short-search","10","1000","0.95","100","100","100","100","10","0"
"medium","short-search","11","1000","0.95","100","100","100","100","7","0"
"medium","short-search","12","1000","0.95","100","100","100","100","6","80"
"medium","short-search","13","1000","0.95","100","100","100","100","6","80"
"medium","short-search","14","1000","0.95","100","100","100","100","4","0"
"medium","short-search","15","1000","0.95","100","100","100","100","10","0"
"medium","short-search","16","1000","0.95","100","100","100","100","7","80"
"medium","short-search","17","1000","0.95","100","100","100","100","6","0"
"medium","short-search","18","1000","0.95","100","100","100","100","10","0"
"medium","short-search","19","1000","0.95","100","100","100","100","34","160"
"medium","short-search","20","1000","0.95","100","100","100","100","10","0"
"medium","short-search","21","1000","0.95","100","100","100","100","8","0"
"medium","short-search","22","1000","0.95","100","100","100","100","8","80"
"medium","short-search","23","1000","0.95","100","100","100","100","6","0"
"medium","short-search","24","1000","0.95","100","100","100","100","11","110"
"medium","short-search","25","1000","0.95","100","100","100","100","7","160"
"medium","short-search","26","1000","0.95","100","100","100","100","7","0"
"medium","short-search","27","1000","0.95","100","100","100","100","9","0"
"medium","short-search","28","1000","0.95","100","100","100","100","6","0"
"medium","short-search","29","1000","0.95","100","100","100","100","6","240"
"medium","short-search","30","1000","0.95","100","100","100","100","4","0"
"large","baseline","1","1000","0.95","1000","200","200","100","116","0"
"large","baseline","2","1000","0.95","1000","200","200","100","127","0"
"large","baseline","3","1000","0.95","1000","200","200","100","137","0"
"large","baseline","4","1000","0.95","1000","200","200","100","114","0"
"large","baseline","5","1000","0.95","1000","200","200","100","113","0"
"large","baseline","6","1000","0.95","1000","200","200","100","123","0"
"large","baseline","7","1000","0.95","1000","200","200","100","281","0"
"large","baseline","8","1000","0.95","1000","200","200","100","583","0"
"large","baseline","9","1000","0.95","1000","200","200","100","234","0"
"large","baseline","10","1000","0.95","1000","200","200","100","216","0"
"large","baseline","11","1000","0.95","1000","200","200","100","509","0"
"large","baseline","12","1000","0.95","1000","200","200","100","213","0"
"large","baseline","13","1000","0.95","1000","200","200","100","448","0"
"large","baseline","14","1000","0.95","1000","200","200","100","178","0"
"large","baseline","15","1000","0.95","1000","200","200","100","131","0"
"large","baseline","16","1000","0.95","1000","200","200","100","133","0"
"large","baseline","17","1000","0.95","1000","200","200","100","593","0"
"large","baseline","18","1000","0.95","1000","200","200","100","117","0"
"large","baseline","19","1000","0.95","1000","200","200","100","643","0"
"large","baseline","20","1000","0.95","1000","200","200","100","126","0"
"large","baseline","21","1000","0.95","1000","200","200","100","139","0"
"large","baseline","22","1000","0.95","1000","200","200","100","127","0"
"large","baseline","23","1000","0.95","1000","200","200","100","387","0"
"large","baseline","24","1000","0.95","1000","200","200","100","148","0"
"large","baseline","25","1000","0.95","1000","200","200","100","165","0"
"large","baseline","26","1000","0.95","1000","200","200","100","107","0"
"large","baseline","27","1000","0.95","1000","200","200","100","419","0"
"large","baseline","28","1000","0.95","1000","200","200","100","136","0"
"large","baseline","29","1000","0.95","1000","200","200","100","101","0"
"large","baseline","30","1000","0.95","1000","200","200","100","174","0"
"large","low-temperature","1","100","0.95","1000","200","200","100","517","0"
"large","low-temperature","2","100","0.95","1000","200","200","100","546","0"
"large","low-temperature","3","100","0.95","1000","200","200","100","230","0"
"large","low-temperature","4","100","0.95","1000","200","200","100","237","0"
"large","low-temperature","5","100","0.95","1000","200","200","100","569","0"
"large","low-temperature","6","100","0.95","1000","200","200","100","410","0"
"large","low-temperature","7","100","0.95","1000","200","200","100","316","0"
"large","low-temperature","8","100","0.95","1000","200","200","100","688","0"
"large","low-temperature","9","100","0.95","1000","200","200","100","290","0"
"large","low-temperature","10","100","0.95","1000","200","200","100","688","0"
"large","low-temperature","11","100","0.95","1000","200","200","100","660","0"
"large","low-temperature","12","100","0.95","1000","200","200","100","340","0"
"large","low-temperature","13","100","0.95","1000","200","200","100","517","0"
"large","low-temperature","14","100","0.95","1000","200","200","100","281","0"
"large","low-temperature","15","100","0.95","1000","200","200","100","363","0"
